Entity,InteractionMode,FieldName,FieldType,Description,Required,InResp
Ad Account,Deleting,adaccounts,list<string>,numeric string&gt,,
Ad Account,Reading,vertical_name,string,Vertical name,,
Ad Account,Reading,tax_id,string,Tax ID,,
Ad Account,Updating,business_info,dictionary,Business Info,,
Ad Account,Reading,asset_score,float,relevance score of an asset,,
Ad Account,Updating,media_agency,numeric string,The ID of a Facebook Page or Facebook App,,
Ad Account,Reading,timezone_name,string,Name for the time zone,,
Ad Account,Updating,name,string,The name of the ad account,,
Ad Account,Creating,timezone_id,unsigned int32,ID for the timezone. See here.Required,Y,
Ad Account,Updating,redownload,boolean,Allows you to specify that you would like toretrieve all fields of the set in your response.False by default.,,
Ad Account,Updating,end_advertiser,numeric string,The ID of a Facebook Page or Facebook App,,
Ad Account,Reading,io_number,numeric string,The IO number,,
Ad Account,Reading,offsite_pixels_tos_accepted,bool,Indicates whether the offsite pixel Terms Of Service contract was signed. More details on offsite-pixels can be found here,,
Ad Account,Updating,spend_cap_action,string,Setting this parameter to reset sets the amount_spent back to 0. Setting it to delete removes the spend_cap from the account.,,
Ad Account,Deleting,id,numeric string,ID of the custom audience DEL,,
Ad Account,Updating,id,string,The ID of the ad accountRequired,Y,
Ad Account,Reading,rf_spec,ReachFrequencySpec = ,Reach and Frequency limits configuration. See Reach and Frequency,,
Ad Account,Reading,user_role,numeric string,Role ID of the user,,
Ad Account,Creating,adaccounts,list<string>,numeric string&gt,,
Ad Account,Updating,partner,numeric string,The ID of a Facebook Page or Facebook App,,
Ad Account,Reading,min_campaign_group_spend_cap,numeric string,The minimum required spend cap of campaign group,,
Ad Account,Reading,spend_cap,numeric string,"The maximum that can be spent by this account after which campaigns will be paused. A value of 0 signifies no spending-cap and setting a new spend cap only applies to spend AFTER the time at which you set it. Value specified in basic unit of the currency, e.g. cents for USD.",,
Ad Account,Creating,po_number,string,Purchase order number,,
Ad Account,Reading,name,string,"Name of the account. If the account name is not set, the name of the first admin visible to the user will be returned",,
Ad Account,Reading,timezone_id,unsigned int32,The timezone ID of this ad account.,,
Ad Account,Reading,is_personal,unsigned int32,If this is a personal or business account,,
Ad Account,Updating,agency_client_declaration,dictionary,Details of the agency advertising on behalf of this client account,,
Ad Account,Reading,disable_reason,unsigned int32,The reason why the account was disabled. Possible reasons are:0 = NONE1 = ADS_INTEGRITY_POLICY2 = ADS_IP_REVIEW3 = RISK_PAYMENT4 = GRAY_ACCOUNT_SHUT_DOWN,,
Ad Account,Reading,tos_accepted,"map<string, int32>",IDs of Terms of Service contracts signed,,
Ad Account,Updating,is_notifications_enabled,boolean,If notifications are enabled or not for this account,,
Ad Account,Reading,balance,numeric string,Bill amount due,,
Ad Account,Reading,is_prepay_account,bool,If this ad account is a prepay or postpay account,,
Ad Account,Reading,tax_id_status,unsigned int32,VAT status code for the account.0: Unknown1: VAT not required- US/CA2: VAT information required3: VAT information submitted4: Offline VAT validation failed5: Account is a personal account,,
Ad Account,Reading,is_notifications_enabled,bool,Get the notifications status of the user for this ad account. This will return true or false depending if notifications are enabled or not.,,
Ad Account,Creating,permitted_roles,"list&lt;enum {ADMIN, GENERAL_USER, REPORTS_ONLY, INSTAGRAM_ADVERTISER, INSTAGRAM_MANAGER, FB_EMPLOYEE_DSO_ADVERTISER}&gt;",permitted roles,,
Ad Account,Reading,currency,string,"The currency used for the account, based on the corresponding value in the account settings. See supported currencies",,
Ad Account,Reading,owner,numeric string,The ID of the account owner,,
Ad Account,Updating,timezone_id,unsigned int32,ID for the timezone. See here.,,
Ad Account,Reading,tax_id_type,string,Type of Tax ID,,
Ad Account,Reading,business_name,string,The business name for the account,,
Ad Account,Deleting,account_id,numeric string,ID of the ad accountRequired,Y,
Ad Account,Reading,end_advertiser_name,string,The name of a Facebook Page or Facebook App,,
Ad Account,Creating,access_type,"enum {OWNER, AGENCY}",access typeRequired,Y,
Ad Account,Reading,business_street,string,First line of the business street address for the account,,
Ad Account,Reading,media_agency,numeric string,The ID of a Facebook Page or Facebook Application,,
Ad Account,Updating,spend_cap,numeric string,"The total amount that this account can spend, after which all campaigns will be paused, based on amount_spent. A value of 0 signifies no spending-cap and setting a new spend cap only applies to spend AFTER the time at which you set it. Value specified in lowest denomination of the currency, e.g. cents for USD.",,
Ad Account,Reading,account_status,unsigned int32,Status of the account 1 = ACTIVE2 = DISABLED3 = UNSETTLED7 = PENDING_RISK_REVIEW9 = IN_GRACE_PERIOD100 = PENDING_CLOSURE101 = CLOSED102 = PENDING_SETTLEMENT201 = ANY_ACTIVE202 = ANY_CLOSED,,
Ad Account,Updating,currency,"enum{USD, CAD, EUR, GBP, AUD, JPY, TRY, VEF, COP, NOK, SEK, DKK, CLP, HKD, CHF, NZD, MXN, ZAR, ILS, ARS, BOB, BRL, CNY, CRC, CZK, GTQ, HNL, HUF, ISK, INR, MOP, MYR, NIO, PYG, PEN, PLN, PHP, QAR, RON, RUB, SAR, SGD, KRW, TWD, THB, AED, UYU, VND, IDR}",The currency used for the account,,
Ad Account,Reading,end_advertiser,numeric string,The ID of a Facebook Page or Facebook App,,
Ad Account,Creating,adaccount_id,string,ID of ad accountRequired,Y,
Ad Account,Reading,agency_client_declaration,AgencyClientDeclaration,"Details of the agency advertising on behalf of this client account, if applicable",,
Ad Account,Reading,line_numbers,list<unsigned int32>,unsigned int32&gt,,
Ad Account,Creating,id,numeric string,ID of the custom audience CREATE,,
Ad Account,Creating,io,boolean,If corporate channel is direct sales.,,
Ad Account,Reading,business_street2,string,Second line of the business street address for the account,,
Ad Account,Creating,replace,boolean,"true or false. If true the list of adaccounts
        provided in the call will replace the existing set of ad accounts
        this audience is shared with.",,
Ad Account,Creating,name,string,The name of the ad accountRequired,Y,
Ad Account,Reading,created_time,datetime,The time the account was created in ISO 8601 format.,,
Ad Account,Creating,partner,string,"This could be FBMP or FBX parthner if there is one.  Must be a Facebook Page Alias, Facebook Page ID or an Facebook App ID. In absence of one, you can use NONE or UNFOUNDRequired",Y,
Ad Account,Reading,timezone_offset_hours_utc,float,Time Zone difference from UTC,,
Ad Account,Creating,invoice,boolean,"If business manager has Business Manager Owned Normal Credit Line on file on the FB CRM, it will attach the ad account to that credit line.",,
Ad Account,Reading,age,float,"Amount of time the ad account has been open, in days",,
Ad Account,Reading,business_state,string,State abbreviation for business address,,
Ad Account,Creating,funding_id,numeric string or integer,ID of the payment method. If the account does not have a payment method it will still be possible to create ads but these ads will get no delivery.,,
Ad Account,Reading,min_daily_budget,unsigned int32,The minimum daily budget for this ad account,,
Ad Account,Creating,media_agency,string,"The agency, this could be your own business. Must be a Facebook Page Alias, Facebook Page ID or an Facebook App ID. In absence of one, you can use NONE or UNFOUNDRequired",Y,
Ad Account,Reading,last_used_time,datetime,last used time of this object by the current viewer,,
Ad Account,Reading,account_id,numeric string,The ID of the ad accountDefault,Y,
Ad Account,Creating,end_advertiser,"The type of this param is undocumented. If you are the owner of this param, please specify a developer-friendly type for it","The entity the ads will target. Must be a Facebook Page Alias, Facebook Page ID or an Facebook App ID. In absence of one, you can use NONE or UNFOUNDRequired",Y,
