Entity,InteractionMode,FieldName,FieldType,Description,Required,inResp
Ad Creative,Creating,advanced_data,Object,,,
Ad Creative,Creating,id,string,ID of creativeRequired,,
Ad Creative,Deleting,account_id,numeric string,Account ID,,
Ad Creative,Creating,link_title,string,,,
Ad Creative,Updating,id,numeric string,ID of creativeRequired,y,
Ad Creative,Updating,account_id,numeric string,Account ID,,
Ad Creative,Deleting,id,numeric string,ID of creativeRequired,y,
Ad Creative,Creating,landing_page_cta,string,,,
Ad Creative,Creating,follow_up_action_text,string,,,
Ad Creative,Creating,offer_id,id,,,
Ad Creative,Creating,image_url,URL,,,
Ad Creative,Creating,tcpa_compliant,boolean,,,
Ad Creative,Creating,need_split_flow,boolean,,,
Ad Creative,Creating,follow_up_title,string,,,
Ad Creative,Creating,split_flow_use_post,boolean,,,
Ad Creative,Creating,follow_up_action_url,URL,,,
Ad Creative,Creating,fallback_test_url,URL,,,
Ad Creative,Creating,page,string,,,
Ad Creative,Creating,end_time_in_sec,unsigned int32,,,
Ad Creative,Creating,product_link,string,,,
Ad Creative,Creating,link,URL,,,
Ad Creative,Creating,policy_url,URL,,,
Ad Creative,Creating,info_fields,list<Object>,,,
Ad Creative,Creating,body,string,The body of the ad,,
Ad Creative,Creating,start_time_in_sec,unsigned int32,,,
Ad Creative,Creating,video_annotation,Object,,,
Ad Creative,Creating,application,string,,,
Ad Creative,Creating,sponsorship,Object,,,
Ad Creative,Creating,link_description,string,,,
Ad Creative,Creating,leadgen,Object,,,
Ad Creative,Reading,id,numeric string,The ID of this creative,y,
Ad Creative,Updating,adlabels,list<Object>,Labels to be associated with this creative,,
Ad Creative,Creating,get_movie_showtimes,boolean,,,
Ad Creative,Creating,link_caption,string,,,
Ad Creative,Updating,run_status,unsigned int32,"Status of creative. Allowed values: ACTIVE, DELETED",,
Ad Creative,Creating,app_link,string,,,
Ad Creative,Creating,image,URL,,,
Ad Creative,Creating,annotations,list<Object>,,,
Ad Creative,Creating,object_url,URL,Destination URL for a link ad (not connected to a page),,
Ad Creative,Deleting,adlabels,list<Object>,Labels to be associated with this creative,,
Ad Creative,Creating,title,string,Title for a link ad (not connected to a page),,
