Entity,InteractionMode,FieldName,FieldType,Description,Required,Maybe
Insights,Deleting,adaccounts,list&lt,numeric string&gt,,
Insights,Reading,vertical_name,string,Vertical name,,
Insights,Reading,tax_id,string,Tax ID,,
Insights,Updating,business_info,dictionary,Business Info,,
Insights,Reading,asset_score,float,relevance score of an asset,,
Insights,Updating,media_agency,numeric string,The ID of a Facebook Page or Facebook App,,
Insights,Reading,timezone_name,string,Name for the time zone,,
Insights,Updating,name,string,The name of the Insights,,
Insights,Creating,timezone_id,unsigned int32,ID for the timezone. See here.Required,Y,
Insights,Updating,redownload,boolean,Allows you to specify that you would like toretrieve all fields of the set in your response.False by default.,,
Insights,Updating,end_advertiser,numeric string,The ID of a Facebook Page or Facebook App,,
Insights,Reading,io_number,numeric string,The IO number,,
Insights,Reading,offsite_pixels_tos_accepted,bool,Indicates whether the offsite pixel Terms Of Service contract was signed. More details on offsite-pixels can be found here,,
Insights,Updating,spend_cap_action,string,Setting this parameter to reset sets the amount_spent back to 0. Setting it to delete removes the spend_cap from the account.,,
Insights,Deleting,id,numeric string,ID of the custom audience DEL,,
Insights,Updating,id,string,The ID of the InsightsRequired,Y,
Insights,Reading,rf_spec,ReachFrequencySpec,Reach and Frequency limits configuration. See Reach and Frequency,,
Insights,Reading,user_role,numeric string,Role ID of the user,,
Insights,Creating,adaccounts,list&lt,numeric string&gt,,
Insights,Updating,partner,numeric string,The ID of a Facebook Page or Facebook App,,
Insights,Reading,min_campaign_group_spend_cap,numeric string,The minimum required spend cap of campaign group,,
Insights,Reading,spend_cap,numeric string,"The maximum that can be spent by this account after which campaigns will be paused. A value of 0 signifies no spending-cap and setting a new spend cap only applies to spend AFTER the time at which you set it. Value specified in basic unit of the currency, e.g. cents for USD.",,
Insights,Deleting,id,numeric string,ID of the Insights groupRequired,Y,
Insights,Creating,po_number,string,Purchase order number,,
Insights,Reading,name,string,"Name of the account. If the account name is not set, the name of the first admin visible to the user will be returned",,
Insights,Reading,timezone_id,unsigned int32,The timezone ID of this Insights.,,
Insights,Reading,is_personal,unsigned int32,If this is a personal or business account,,
